number,chapter_title,title_eng,title,book_id
75,Patients - المرضى,Patients,المرضى,Sahih al-Bukhari
76,Medicine - الطب,Medicine,الطب,Sahih al-Bukhari
77,Dress - اللباس,Dress,اللباس,Sahih al-Bukhari
78,Good Manners and Form (Al-Adab) - الأدب,Good Manners and Form (Al-Adab),الأدب,Sahih al-Bukhari
79,Asking Permission - الاستئذان,Asking Permission,الاستئذان,Sahih al-Bukhari
80,Invocations - الدعوات,Invocations,الدعوات,Sahih al-Bukhari
81,To make the Heart Tender (Ar-Riqaq) - الرقاق,To make the Heart Tender (Ar-Riqaq),الرقاق,Sahih al-Bukhari
82,Divine Will (Al-Qadar) - القدر,Divine Will (Al-Qadar),القدر,Sahih al-Bukhari
83,Oaths and Vows - الأيمان والنذور,Oaths and Vows,الأيمان والنذور,Sahih al-Bukhari
84,Expiation for Unfulfilled Oaths - كفارات الأيمان,Expiation for Unfulfilled Oaths,كفارات الأيمان,Sahih al-Bukhari
85,Laws of Inheritance (Al-Faraaid) - الفرائض,Laws of Inheritance (Al-Faraaid),الفرائض,Sahih al-Bukhari
86,Limits and Punishments set by Allah (Hudood) - الحدود,Limits and Punishments set by Allah (Hudood),الحدود,Sahih al-Bukhari
87,Blood Money (Ad-Diyat) - الديات,Blood Money (Ad-Diyat),الديات,Sahih al-Bukhari
88,Apostates - استتابة المرتدين والمعاندين وقتالهم,Apostates,استتابة المرتدين والمعاندين وقتالهم,Sahih al-Bukhari
89,(Statements made under) Coercion - الإكراه,(Statements made under) Coercion,الإكراه,Sahih al-Bukhari
90,Tricks - الحيل,Tricks,الحيل,Sahih al-Bukhari
91,Interpretation of Dreams - التعبير,Interpretation of Dreams,التعبير,Sahih al-Bukhari
92,Afflictions and the End of the World - الفتن,Afflictions and the End of the World,الفتن,Sahih al-Bukhari
93,Judgments (Ahkaam) - الأحكام,Judgments (Ahkaam),الأحكام,Sahih al-Bukhari
94,Wishes - التمنى,Wishes,التمنى,Sahih al-Bukhari
95,Accepting Information Given by a Truthful Person - أخبار الآحاد,Accepting Information Given by a Truthful Person,أخبار الآحاد,Sahih al-Bukhari
96,Holding Fast  the Quran and Sunnah - الاعتصام بالكتاب والسنة,Holding Fast  the Quran and Sunnah,الاعتصام بالكتاب والسنة,Sahih al-Bukhari
97,"Oneness, Uniqueness of Allah (Tawheed) - التوحيد","Oneness, Uniqueness of Allah (Tawheed)",التوحيد,Sahih al-Bukhari
